x1,x2,y
3.23E-02,2.44E-02,1
8.87E-02,2.44E-02,1
1.69E-01,1.63E-02,1
2.42E-01,0.00E+00,1
2.42E-01,4.88E-02,1
1.53E-01,5.69E-02,1
1.13E-01,9.76E-02,1
4.84E-02,1.30E-01,1
5.65E-02,1.71E-01,1
3.23E-02,6.50E-02,1
9.68E-02,1.14E-01,1
9.68E-02,1.71E-01,1
4.03E-02,2.36E-01,1
4.03E-02,2.85E-01,1
7.26E-02,2.85E-01,1
9.68E-02,2.36E-01,1
1.05E-01,2.20E-01,1
2.10E-01,1.79E-01,1
1.94E-01,1.63E-01,1
1.61E-01,1.46E-01,1
2.18E-01,1.22E-01,1
2.66E-01,1.06E-01,1
3.15E-01,6.50E-02,1
2.90E-01,5.69E-02,1
3.39E-01,8.13E-03,1
3.79E-01,3.25E-02,1
3.87E-01,8.13E-02,1
3.87E-01,1.14E-01,1
3.95E-01,9.76E-02,1
4.11E-01,3.25E-02,1
4.27E-01,2.44E-02,1
4.52E-01,1.06E-01,1
4.35E-01,1.71E-01,1
4.35E-01,2.20E-01,1
4.27E-01,3.01E-01,1
4.11E-01,3.17E-01,1
4.11E-01,3.90E-01,1
4.35E-01,4.31E-01,1
4.60E-01,4.88E-01,1
4.11E-01,4.80E-01,1
3.47E-01,4.55E-01,1
3.23E-01,4.47E-01,1
2.66E-01,4.47E-01,1
2.26E-01,4.55E-01,1
2.02E-01,4.63E-01,1
1.69E-01,4.63E-01,1
1.29E-01,4.72E-01,1
1.05E-01,4.63E-01,1
8.87E-02,4.39E-01,1
8.87E-02,3.98E-01,1
7.26E-02,3.74E-01,1
8.87E-02,3.25E-01,1
1.29E-01,3.17E-01,1
1.45E-01,2.36E-01,1
1.69E-01,2.36E-01,1
1.85E-01,2.36E-01,1
2.02E-01,3.09E-01,1
1.94E-01,3.66E-01,1
1.53E-01,4.15E-01,1
1.85E-01,4.23E-01,1
2.90E-01,4.15E-01,1
3.55E-01,4.07E-01,1
3.79E-01,3.66E-01,1
3.55E-01,3.33E-01,1
3.31E-01,3.25E-01,1
3.06E-01,3.17E-01,1
2.90E-01,2.85E-01,1
2.74E-01,2.52E-01,1
2.66E-01,1.79E-01,1
2.74E-01,1.46E-01,1
2.98E-01,1.30E-01,1
3.47E-01,1.14E-01,1
3.63E-01,1.63E-01,1
3.63E-01,1.95E-01,1
3.63E-01,2.44E-01,1
3.39E-01,3.17E-01,1
3.31E-01,3.01E-01,1
3.55E-01,2.36E-01,1
3.39E-01,1.95E-01,1
3.23E-01,1.87E-01,1
2.98E-01,2.36E-01,1
2.74E-01,2.60E-01,1
2.66E-01,2.85E-01,1
2.34E-01,3.25E-01,1
2.34E-01,3.58E-01,1
3.15E-01,3.90E-01,1
2.58E-01,4.15E-01,1
2.02E-01,3.98E-01,1
3.06E-01,3.50E-01,1
3.39E-01,3.33E-01,1
3.39E-01,3.66E-01,1
5.32E-01,1.00E+00,1
5.24E-01,9.43E-01,1
5.24E-01,8.86E-01,1
5.32E-01,8.29E-01,1
5.32E-01,7.72E-01,1
5.32E-01,7.40E-01,1
5.32E-01,6.83E-01,1
5.32E-01,6.50E-01,1
5.40E-01,6.02E-01,1
5.40E-01,5.61E-01,1
5.89E-01,5.53E-01,1
5.97E-01,6.10E-01,1
5.97E-01,6.59E-01,1
6.05E-01,7.07E-01,1
6.13E-01,7.40E-01,1
6.53E-01,7.72E-01,1
6.85E-01,7.97E-01,1
7.10E-01,7.15E-01,1
6.94E-01,6.91E-01,1
6.94E-01,6.75E-01,1
6.85E-01,6.50E-01,1
7.18E-01,6.42E-01,1
7.66E-01,6.34E-01,1
8.23E-01,6.34E-01,1
8.47E-01,6.91E-01,1
7.98E-01,7.64E-01,1
7.66E-01,8.05E-01,1
7.18E-01,8.21E-01,1
