x1,x2,y
0.77 ,3.97 ,0 
1.71 ,2.81 ,0 
2.18 ,1.31 ,0 
3.80 ,0.69 ,0 
5.21 ,1.14 ,0 
4.23 ,2.58 ,0 
2.78 ,3.88 ,0 
1.67 ,5.81 ,0 
0.90 ,7.54 ,0 
1.45 ,9.14 ,0 
2.31 ,9.33 ,0 
2.48 ,7.79 ,0 
5.60 ,2.25 ,0 
7.05 ,1.24 ,0 
7.01 ,2.74 ,0 
8.50 ,2.55 ,0 
7.31 ,4.87 ,0 
5.47 ,5.20 ,0 
2.82 ,6.58 ,1 
3.50 ,5.04 ,1 
4.36 ,3.98 ,1 
6.28 ,3.99 ,1 
7.52 ,3.90 ,1 
8.55 ,5.36 ,1 
7.35 ,6.61 ,1 
6.15 ,6.26 ,1 
4.87 ,6.50 ,1 
3.93 ,7.31 ,1 
4.32 ,8.81 ,1 
5.26 ,7.90 ,1 
6.58 ,7.52 ,1 
6.54 ,8.97 ,1 
8.08 ,8.01 ,1 
8.72 ,6.90 ,1 
9.49 ,5.26 ,1 
