Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Area Population,size,Price
79545.45857,5.317138678,7.009188143,23086.8005,188.2142121,1059033.558
79248.64245,4.997100192,6.730821019,40173.07217,160.0425258,1505890.915
61287.06718,5.13411016,8.51272743,36882.1594,227.2735445,1058987.988
63345.24005,3.811763905,5.586728665,34310.24283,164.8166303,1260616.807
59982.19723,5.959445477,7.839387785,26354.10947,161.9666587,630943.4893
80175.75416,6.011592242,6.104512439,26748.42842,156.5346563,1068138.074
64698.46343,4.974664093,8.147759585,60828.24909,194.7797089,1502055.817
78394.33928,4.010220252,6.620477995,36516.35897,163.5368343,1573936.564
59927.66081,5.63787443,6.393120981,29387.396,172.754233,798869.5328
81885.92718,6.57632821,8.167688003,40149.96575,197.8004715,1545154.813
80527.47208,2.906487319,5.0427468,47224.35984,128.1650411,1707045.722
50593.6955,6.503487207,7.467627404,34343.99189,161.9971614,663732.3969
39033.80924,3.328244627,7.250029317,39220.36147,172.9126763,1042814.098
73163.66344,4.080465175,5.993187901,32326.12314,190.2275024,1291331.518
69391.38018,5.655223823,8.406417715,35521.29403,247.9902501,1402818.21
73091.86675,5.556843533,8.517512711,23929.52405,253.5242465,1306674.66
79706.96306,5.932110409,8.219771123,39717.81358,229.1627787,1556786.6
61929.07702,6.211449758,5.097009554,24595.9015,138.8159046,528485.2467
63508.1943,5.05283486,7.187773835,35719.65305,157.8345476,1019425.937
62085.2764,5.260589156,7.091808104,44922.1067,136.7851999,1030591.429
86294.99909,4.37254306,8.011897853,47560.77534,231.0471186,2146925.34
60835.08998,5.448778408,6.517175038,45574.74166,157.4144813,929247.5995
64490.65027,6.78967713,5.478087731,40358.96011,104.0788589,718887.2315
60697.35154,4.829515909,7.150536572,28140.96709,155.5891054,743999.8192
59748.85549,5.660660119,7.748681606,27809.98654,225.3658065,895737.1334
56974.47654,2.712437806,7.312879971,40694.86951,204.0980382,1453974.506
82173.62608,6.981475315,6.992698757,38853.91807,136.4274601,1125692.507
64626.88098,5.55664041,6.988753539,27784.74228,173.7737309,975429.4928
90499.05745,4.615641079,4.242191302,33970.16499,133.4094302,1240763.766
59323.7921,4.02217206,8.273697078,37520.65773,208.8955451,1577017.76
77811.52203,5.685539785,6.686686133,33754.7378,189.1458984,1246830.188
68652.60921,4.8756579,6.290820167,39355.62573,146.3659055,1170720.894
55041.35158,3.872871447,8.591923294,30122.47348,260.8557486,1071279.21
50218.70846,4.881191869,7.333554072,16810.78331,190.0975808,534305.1323
55909.3223,5.580437089,9.289854372,22355.23541,198.7815755,936368.9634
74372.81021,5.499871427,6.593045604,39395.15118,157.2859553,1199193.831
78667.9046,5.529347793,7.780836693,27637.65655,204.1359634,1233220.009
78699.5151,5.347216363,6.756453856,22836.60757,196.2714062,1081150.125
53128.18545,5.819335875,5.426902859,32947.71196,139.6421867,524712.7661
17796.63119,6.050442994,6.713905445,47162.18364,128.1858782,302355.836
58566.84936,4.420308547,5.034525352,39705.46496,137.7369562,1026817.4
75537.79451,3.154784086,7.555660721,32778.19534,188.0997557,1762214.68
46147.05306,4.376667171,7.60683155,27161.12861,177.3437954,882057.1706
70421.47649,4.09291703,7.634318731,43183.92849,233.5696166,1744932.211
62614.42062,5.500690303,7.440505218,26888.57956,189.9236297,1153871.47
66394.87159,3.930487846,7.204639709,39741.07751,205.7625642,1499988.88
73946.85107,6.136845694,7.537182365,35261.12702,164.8271701,1109588.38
69144.74571,3.703775503,5.928223473,19030.61549,156.038237,980177.3051
77278.69703,4.761108985,6.919204136,21725.95429,157.6429576,1323952.027
86754.19663,4.395560181,6.252454805,43017.44076,147.6540292,1662494.736
74399.84098,4.617547088,7.252665322,41084.66282,174.2856956,1417819.74
49408.19834,5.174079524,5.831738973,26881.1306,137.5183567,549976.1456
62279.79005,4.891550009,6.30611635,35263.65314,135.7851185,1054770.981
73078.20409,5.07609361,6.445456691,54915.96178,154.2562683,1415647.553
72942.70506,6.213777705,7.31988553,24377.90905,213.9995711,948788.2757
63819.62285,5.050160529,8.022469239,27825.57206,239.5725655,1159596.519
73265.44989,2.685238021,7.42559746,21030.96618,194.7873289,1547133.396
68488.13117,4.883888252,7.18252748,18267.95471,187.9192008,1186688.506
55193.85745,3.813879333,5.096917456,32537.81877,136.8875274,772111.9721
77434.68924,4.690728647,5.219754029,36252.34068,156.6187819,1172730.156
66158.88159,6.523570934,6.91174261,37098.74217,190.4386993,1111085.017
60502.90933,3.466619014,5.731824125,33579.63151,161.9830078,1022781.171
60910.89379,5.364533262,7.325973781,43347.804,169.7390141,1274474.546
73931.97852,4.605892333,4.580839921,36543.06728,136.4710514,1213530.85
59539.94845,4.981409757,7.007676166,58600.82715,175.1809223,1411730.477
56547.50719,5.564584817,6.515149877,37585.27458,181.763799,858685.5659
65950.34702,5.523486842,6.717844306,40110.8476,158.8084645,1200961.821
74533.16208,4.32064687,5.919230725,49481.56581,122.1323971,1520234.229
66422.91905,3.87792815,7.078583745,31019.32482,218.3013214,1360908.32
74334.49485,5.580987436,6.261535284,41640.43566,163.2872384,1360920.53
63538.34616,6.235500692,7.168662411,43282.183,158.5270177,1146532.455
83953.10484,3.614865466,6.898846569,37283.35765,211.9961008,1789098.521
57279.06358,5.881891095,6.561520216,44023.79068,140.4146734,852099.464
56553.55025,5.308870787,7.021252354,29682.40986,186.9086037,746096.7289
75795.57598,5.213219976,7.327325343,33197.77774,191.2040423,1534479.907
70848.78866,5.71767498,6.766444664,40458.73587,143.579816,1215608.531
59787.4045,5.346879684,6.594592279,32402.10755,169.8784591,941594.3284
64826.37189,6.989092663,8.290419813,60286.0431,154.6798046,1204598.037
65925.8538,3.394488046,7.070409541,34171.36007,209.2023519,1597655.258
64419.25264,4.045577874,8.516160048,39318.17075,228.8235242,1492011.496
58544.4603,2.437389424,7.276308629,30865.58695,219.0029312,1421216.504
68791.79169,6.274447772,6.704201604,48423.32244,164.8507796,1132522.901
82061.5652,6.817171772,5.963031884,36271.4085,160.2286691,1102821.438
80659.52544,5.563693798,7.100753432,52947.03636,196.2439675,1856211.35
66668.09352,4.815034661,7.863127437,47075.21223,207.4118904,1687998.933
64721.5645,5.322362473,6.971331701,36115.81636,141.4546335,1063423.007
65199.98994,4.554257102,6.937127028,28366.03543,191.411935,1177289.886
74579.98953,6.360345869,5.521489299,42806.14664,106.7293527,1173474.379
76273.67033,3.120248199,4.500165348,46974.57879,136.8857774,1637259.999
67561.94206,5.748599253,7.658576339,35517.54187,160.0139611,1238938.291
48904.98327,6.155027469,5.44895603,32960.75307,115.4824607,201898.0866
72145.96721,4.60137401,8.258634923,28882.90085,176.451727,1439506.102
70805.61068,6.556271076,5.809147306,29268.82674,140.5860107,585608.6326
65383.33792,3.487473221,6.640032004,35114.40246,167.9591324,1294685.159
95450.29309,4.404939315,6.850361008,39388.51552,223.7559146,2014851.344
73698.69636,4.627269068,6.578352074,51815.09642,184.8785685,1840236.006
66263.9105,4.625069934,6.736974131,49829.9515,148.7714325,1441421.913
75394.75958,4.066647532,7.834099801,22268.07531,223.0150273,1498640.551
65984.75064,4.487729915,6.31648002,21867.47694,150.1446398,954746.5764
66477.26279,4.017848275,6.038487979,32458.9867,166.3091476,1124635.932
69284.25964,5.652552909,7.173425885,40282.72428,140.5832024,1169944.248
70404.4961,5.455916274,6.001261362,37127.9255,119.2712317,1114430.953
74218.48902,2.930278133,6.506374302,46770.66097,198.2690136,1783534.839
63441.71465,4.528326273,7.064811136,48061.75267,174.2992456,1302933.248
57493.92457,4.106739843,6.734045416,47039.21532,165.6133997,1241483.612
81543.77732,5.496076804,5.897052836,9816.300885,193.7327528,954114.544
